,text,label_name,label
7820,چقدر ما دهه ایها عجیب و غریب و زودبزرگشدبم با کولهباری تجربه,SURPRISE,5
4952,و _ آبان و سالگرد شروع بدبختی,SAD,4
8231,منم متنفرم تا حالا فقط دویا سه تا فیلم هندی رو کامل دیدم فیلم شعله و فیلمویجی ویژی نمیدونم اسمش چی بود,HATE,3
8059,اره چرا به اون خانم محترم همون لحضه شماره ندادی خجالت بکش,SURPRISE,5
471,ای کاش به جای شهرستانها گاز تهران قطع بشه,ANGRY,0
4959,وای دارم شاخ درمیآورم عجب آدمپست دروغگویی,SURPRISE,5
6355,عجب حالی شده بخاطر هیچی غممیخورم,SAD,4
6969,مگه الان نیستیم ؟,SURPRISE,5
6654,کووووووفت,ANGRY,0
8366,اصلا میگیمامانالانشممیترسماینقدگند زدم,FEAR,1
1855,چرا پر گازترین کشور جهان در سرما میلرزد ؟ پاسخ در همین چند ثانیه,ANGRY,0
435,بعد از یه مدت تیغهها لقمیزنه و نیز کند میشه,ANGRY,0
4556,نهتنهایی چرا وقتی امثال شماروداره دیگه غمنداره اصلا دشمنباهاتونبشکنمیزنه,HAPPY,2
5502,چرااینجوریمیشیمیهو ؟ منم چند بار خیلی عادی از ظرفای نزدیک شکر و اینا ریخته بودم ولی تا این مرحله نرسیده بودم البته این مرحله تبریک دازه واقعا ، رکوردیه برا من,HAPPY,2
5853,من تنها در نظامی میتوانم زندگی کنم که رقابت میان احزاب و قوا ، ازادی رسانه و مطبوعات مانع از تمرکز قدرتشوند نظام دموکراتیک مورد پسند ، رسانه را ازان مردم میداند نه دولت و سرمایهدار اگر رسانه مردمی نباشد ، شاهد تودهی سرگردان خواهیم بود,SAD,4
1768,فکت هیچکس نمیتواند شما را دوست داشته باشد ، بیشتر از آن کسی که برای شما گریه کرده است,SAD,4
7579,نگو که با همون چاقو گوجهخورد میکنه,SURPRISE,5
5106,دختر سالهای که امروز دوشنبه به پزشکی قانونی سیستان و بلوچستان مراجعه کرد ، مورد اذیت ، آزار ، تجاوز به عنف و آدمربایی قرار گرفته بود گزارش _ لحظه _ به _ لحظه دختران _ ایرانشهر,SAD,4
4507,خودمونکم بدبختی داریم ابی هم هی کنسرت میذاره,SAD,4
992,قیمت مناسب و بهتر از مترو فروشهاست,HAPPY,2
2041,زندگی تمام توقعاتمان را از بینبرد,ANGRY,0
